"dist_img","dist_text","experiment_trial","response","response_time"
"c2","Three dogs are each holding two bones","practice","y","4555"
"c1","Three dogs are each carrying two tires","practice","n","1803"
"d1","Three dogs are each carrying two tires","practice","y","2655"
"d2","Three dogs are each holding two bones","practice","y","1496"
"d2","Three dogs are holding two bones","practice","y","4410"
"d1","Three dogs are carrying two tires","practice","y","1359"
"c1","Three dogs are carrying two tires","practice","y","2807"
"c2","Three dogs are holding two bones","practice","y","3590"
"d1","Three dogs are carrying two tires","main","y","2955"
"c1","Three dogs are each carrying two tires","main","n","2013"
"d2","Three dogs are holding two bones","main","y","4784"
"c1","Three dogs are carrying two tires","main","y","1773"
"c2","Three dogs are holding two bones","main","y","921"
"d1","Three dogs are each carrying two tires","main","y","1439"
"d2","Three dogs are each holding two bones","main","y","1347"
"c2","Three dogs are each holding two bones","main","n","1610"
"d1","Three dogs are carrying two tires","main","y","1971"
"c1","Three dogs are carrying two tires","main","y","1687"
"c2","Three dogs are each holding two bones","main","n","1625"
"d2","Three dogs are holding two bones","main","y","1472"
"c1","Three dogs are each carrying two tires","main","n","1670"
"d2","Three dogs are each holding two bones","main","y","1398"
"c2","Three dogs are holding two bones","main","y","1597"
"d1","Three dogs are each carrying two tires","main","y","1021"
