"dist_img","dist_text","experiment_trial","response","response_time"
"c1","Three dogs are carrying two tires","practice","y","5605"
"d1","Three dogs are each carrying two tires","practice","y","4158"
"d2","Three dogs are each holding two bones","practice","y","2438"
"c2","Three dogs are each holding two bones","practice","n","3002"
"c1","Three dogs are each carrying two tires","practice","n","4645"
"d2","Three dogs are holding two bones","practice","n","2946"
"c2","Three dogs are holding two bones","practice","y","4835"
"d1","Three dogs are carrying two tires","practice","n","3158"
"d1","Three dogs are each carrying two tires","main","y","5773"
"c1","Three dogs are carrying two tires","main","y","10735"
"c2","Three dogs are each holding two bones","main","n","3387"
"c1","Three dogs are each carrying two tires","main","n","3635"
"c2","Three dogs are holding two bones","main","y","4857"
"d2","Three dogs are holding two bones","main","y","2950"
"d2","Three dogs are each holding two bones","main","y","1885"
"d1","Three dogs are carrying two tires","main","y","4551"
"d1","Three dogs are carrying two tires","main","y","5137"
"c2","Three dogs are holding two bones","main","y","2617"
"c1","Three dogs are carrying two tires","main","y","1856"
"d2","Three dogs are each holding two bones","main","y","4163"
"d1","Three dogs are each carrying two tires","main","y","2086"
"d2","Three dogs are holding two bones","main","y","7283"
"c2","Three dogs are each holding two bones","main","n","3651"
"c1","Three dogs are each carrying two tires","main","n","1657"
